Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,Total_Carbon_Footprint,Footprint_Category
normal,male,vegan,twice a day,coal,private,lpg,often,182,never,2880,small,5,10,9,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1923,Low
underweight,male,omnivore,daily,wood,private,diesel,often,252,very frequently,1419,large,5,8,43,20,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3748,High
normal,female,vegan,daily,electricity,private,electric,never,162,rarely,9159,small,7,2,26,16,No,[],['Microwave'],1122,Low
obese,male,vegetarian,daily,wood,private,hybrid,never,145,never,8016,small,3,21,14,16,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",2810,Medium
underweight,female,pescatarian,twice a day,wood,private,hybrid,never,285,frequently,7743,extra large,3,1,33,4,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2768,Medium
obese,female,omnivore,more frequently,coal,private,electric,never,286,rarely,2721,small,6,23,30,22,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2171,Low
underweight,male,vegan,more frequently,coal,private,diesel,sometimes,270,frequently,8815,small,2,7,37,9,Sometimes,['Metal'],['Microwave'],4017,High
normal,female,pescatarian,more frequently,wood,private,electric,often,146,rarely,3276,extra large,1,13,10,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",877,Low
obese,male,vegan,twice a day,electricity,private,hybrid,sometimes,221,never,3309,medium,5,8,16,20,Yes,['Paper'],['Microwave'],1856,Low
obese,male,pescatarian,more frequently,wood,private,hybrid,often,230,never,2623,medium,2,20,31,12,No,"['Glass', 'Metal']",['Microwave'],2197,Low
obese,female,omnivore,twice a day,electricity,private,diesel,often,295,very frequently,7915,large,1,15,10,18,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven']",4281,High
underweight,male,vegan,less frequently,electricity,private,lpg,sometimes,177,frequently,8897,small,3,17,3,24,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",3480,High
underweight,male,omnivore,daily,natural gas,private,electric,often,174,frequently,3662,small,2,9,44,21,Yes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2046,Low
obese,male,vegan,twice a day,coal,private,petrol,never,193,never,611,large,6,12,37,5,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2521,Medium
overweight,male,pescatarian,more frequently,wood,private,electric,sometimes,247,never,8219,extra large,5,18,2,5,Sometimes,['Glass'],"['Stove', 'Oven']",1708,Low
underweight,male,vegan,less frequently,wood,private,hybrid,sometimes,137,never,7460,small,6,5,11,20,Sometimes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",2042,Low
underweight,male,vegetarian,less frequently,natural gas,private,diesel,never,174,very frequently,4686,extra large,2,0,47,2,No,"['Paper', 'Plastic', 'Glass']",['Microwave'],3473,High
obese,female,omnivore,less frequently,natural gas,private,electric,often,125,never,5168,small,3,1,40,17,No,"['Paper', 'Plastic']","['Stove', 'Oven']",1552,Low
normal,male,vegan,more frequently,coal,private,petrol,never,280,frequently,672,small,3,24,34,18,No,"['Paper', 'Plastic', 'Metal']",['Stove'],2406,Medium
obese,female,vegetarian,daily,wood,private,petrol,sometimes,270,rarely,3114,large,3,14,5,10,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2540,Medium
normal,female,vegetarian,twice a day,natural gas,private,lpg,never,80,rarely,7134,extra large,2,5,8,5,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",2424,Medium
overweight,female,vegan,more frequently,coal,private,diesel,sometimes,276,rarely,8609,extra large,6,6,14,20,Yes,"['Paper', 'Plastic']",['Oven'],4000,High
normal,female,omnivore,daily,natural gas,private,petrol,sometimes,145,rarely,2885,small,4,3,33,21,Sometimes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",2349,Medium
normal,male,vegan,twice a day,natural gas,private,petrol,never,260,rarely,8130,large,7,7,27,0,Sometimes,"['Plastic', 'Metal']",['Oven'],4536,High
obese,female,omnivore,twice a day,natural gas,private,diesel,never,213,frequently,6337,extra large,4,13,1,0,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",3620,High
underweight,female,omnivore,daily,natural gas,private,diesel,often,96,very frequently,6159,small,2,6,5,19,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2895,Medium
overweight,male,omnivore,more frequently,electricity,private,diesel,sometimes,162,never,9884,extra large,1,21,32,21,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4294,High
normal,male,vegan,more frequently,wood,private,hybrid,sometimes,233,frequently,4060,extra large,7,13,46,7,No,"['Glass', 'Metal']","['Oven', 'Microwave']",3429,High
overweight,male,vegetarian,twice a day,natural gas,private,diesel,often,145,frequently,84,small,1,1,5,22,Yes,[],"['Oven', 'Microwave']",1880,Low
normal,female,pescatarian,less frequently,coal,private,diesel,often,236,frequently,6908,large,3,15,8,17,Yes,[],"['Grill', 'Airfryer']",3535,High
obese,female,vegetarian,more frequently,natural gas,private,lpg,never,77,frequently,121,extra large,2,2,0,3,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1268,Low
overweight,male,vegan,daily,natural gas,private,electric,often,234,never,8659,large,1,8,10,11,Yes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",926,Low
normal,male,omnivore,more frequently,natural gas,private,electric,never,67,rarely,5230,medium,3,5,6,0,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",914,Low
obese,female,vegetarian,twice a day,wood,private,lpg,never,280,rarely,6160,large,2,1,8,19,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2988,Medium
underweight,male,pescatarian,less frequently,wood,private,hybrid,never,145,frequently,5469,medium,4,16,5,5,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",2335,Medium
normal,female,vegetarian,more frequently,coal,private,electric,often,140,frequently,6028,extra large,3,11,12,19,No,['Metal'],[],1884,Low
underweight,male,vegan,daily,wood,private,lpg,sometimes,155,rarely,1669,small,3,1,18,15,Sometimes,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",1505,Low
normal,male,vegan,daily,coal,private,lpg,often,98,very frequently,8061,small,7,14,18,4,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",4580,High
normal,female,vegan,twice a day,coal,private,lpg,often,252,never,2544,extra large,7,24,50,24,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2833,Medium
normal,male,vegan,less frequently,wood,private,electric,often,269,frequently,4447,extra large,4,12,43,7,Sometimes,['Plastic'],['Microwave'],2649,Medium
normal,male,pescatarian,more frequently,wood,private,diesel,often,113,rarely,4303,small,7,17,23,17,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2706,Medium
overweight,male,vegan,daily,electricity,private,lpg,sometimes,270,very frequently,3176,medium,5,24,16,0,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",3045,Medium
underweight,male,pescatarian,more frequently,wood,private,diesel,never,72,rarely,7255,small,2,0,50,1,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",3134,Medium
underweight,male,omnivore,less frequently,wood,private,petrol,sometimes,196,very frequently,6254,small,6,21,45,20,Yes,"['Plastic', 'Glass', 'Metal']",['Microwave'],5013,High
overweight,male,vegan,less frequently,wood,private,petrol,often,244,very frequently,8725,large,7,10,46,1,Sometimes,"['Plastic', 'Metal']",['Stove'],7159,High
overweight,male,vegan,twice a day,natural gas,private,lpg,sometimes,172,never,8616,extra large,7,12,2,16,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],4240,High
normal,female,omnivore,twice a day,coal,private,electric,sometimes,161,never,2914,medium,1,3,13,23,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1033,Low
overweight,female,pescatarian,daily,electricity,private,diesel,sometimes,244,frequently,6972,medium,5,3,23,23,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",3483,High
obese,female,pescatarian,twice a day,natural gas,private,petrol,never,193,very frequently,9812,large,3,5,31,17,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",6515,High
normal,male,pescatarian,daily,wood,private,lpg,often,125,rarely,3295,large,1,11,34,11,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2377,Medium
normal,female,omnivore,twice a day,wood,private,electric,never,252,rarely,9705,extra large,6,9,8,23,No,[],"['Grill', 'Airfryer']",1874,Low
underweight,female,vegan,less frequently,natural gas,private,diesel,sometimes,69,rarely,3105,small,6,8,38,2,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1579,Low
overweight,female,pescatarian,more frequently,wood,private,electric,never,79,rarely,5464,small,1,19,45,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1143,Low
underweight,male,pescatarian,daily,wood,private,diesel,never,222,never,3912,medium,6,7,41,20,Sometimes,[],"['Grill', 'Airfryer']",2790,Medium
overweight,female,omnivore,daily,wood,private,hybrid,never,193,frequently,4359,medium,5,15,9,5,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2338,Medium
overweight,female,pescatarian,daily,coal,private,diesel,never,156,rarely,7873,large,7,21,44,6,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3984,High
normal,female,omnivore,twice a day,natural gas,private,hybrid,sometimes,296,rarely,8641,medium,4,19,3,20,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2778,Medium
overweight,female,vegetarian,less frequently,wood,private,hybrid,never,210,rarely,2871,large,1,15,35,0,Yes,['Paper'],[],1684,Low
normal,female,vegetarian,less frequently,coal,private,lpg,often,217,very frequently,4197,medium,4,17,28,8,No,"['Plastic', 'Glass', 'Metal']",['Stove'],3559,High
underweight,male,vegetarian,twice a day,wood,private,electric,never,131,rarely,6915,small,5,0,28,5,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1203,Low
normal,male,vegetarian,more frequently,coal,private,electric,often,85,very frequently,9359,large,2,19,32,10,Yes,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",2654,Medium
overweight,female,pescatarian,less frequently,coal,private,lpg,often,293,very frequently,3509,medium,7,9,33,14,Sometimes,['Metal'],"['Stove', 'Microwave']",4103,High
underweight,male,omnivore,more frequently,coal,private,lpg,often,123,very frequently,6731,small,2,7,19,12,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4203,High
normal,male,vegetarian,less frequently,electricity,private,electric,sometimes,256,frequently,159,extra large,7,4,33,16,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2433,Medium
normal,male,vegetarian,daily,coal,private,petrol,sometimes,73,never,7976,extra large,5,5,15,0,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",4483,High
normal,female,vegan,less frequently,wood,private,lpg,sometimes,231,rarely,4595,medium,4,16,41,10,Yes,['Metal'],"['Stove', 'Oven', 'Microwave']",2590,Medium
overweight,male,vegetarian,more frequently,electricity,private,diesel,sometimes,76,rarely,2723,large,7,6,28,17,No,"['Plastic', 'Glass']","['Stove', 'Microwave']",2664,Medium
normal,female,vegan,daily,wood,private,petrol,sometimes,296,never,4910,extra large,5,5,40,22,Sometimes,"['Plastic', 'Glass', 'Metal']",['Oven'],2991,Medium
overweight,male,pescatarian,daily,natural gas,private,diesel,often,275,rarely,4425,medium,2,11,13,23,Sometimes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",3127,Medium
overweight,female,vegetarian,more frequently,coal,private,hybrid,sometimes,162,rarely,7434,medium,6,14,14,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2486,Medium
obese,male,omnivore,less frequently,electricity,private,petrol,never,209,frequently,7258,large,1,9,27,18,No,"['Paper', 'Metal']","['Oven', 'Microwave']",5082,High
overweight,male,vegan,more frequently,coal,private,electric,sometimes,298,never,1170,small,1,15,1,22,Yes,"['Glass', 'Metal']",['Microwave'],1009,Low
underweight,male,omnivore,twice a day,wood,private,hybrid,never,170,never,6890,small,2,15,39,11,Yes,"['Paper', 'Glass', 'Metal']",['Microwave'],2134,Low
overweight,female,vegetarian,daily,natural gas,private,electric,never,215,never,1695,small,6,22,31,24,Yes,"['Paper', 'Metal']","['Stove', 'Microwave']",1177,Low
overweight,female,pescatarian,twice a day,electricity,private,electric,never,175,frequently,5671,small,4,16,45,14,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",1814,Low
underweight,female,omnivore,daily,electricity,private,electric,often,190,never,8553,medium,6,6,44,19,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1284,Low
underweight,female,omnivore,twice a day,natural gas,private,lpg,often,127,never,5005,large,6,20,37,6,Yes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",2600,Medium
overweight,female,vegan,less frequently,natural gas,private,hybrid,never,185,rarely,7570,extra large,2,14,48,13,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2845,Medium
underweight,female,vegan,daily,natural gas,private,hybrid,often,125,rarely,8298,large,2,4,12,12,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave']",2152,Low
overweight,female,pescatarian,more frequently,coal,private,electric,often,294,very frequently,3216,small,1,5,20,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2577,Medium
obese,female,omnivore,twice a day,coal,private,lpg,often,187,rarely,9945,medium,3,1,9,13,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],4220,High
obese,male,omnivore,twice a day,coal,private,electric,never,296,very frequently,95,small,5,9,15,11,Yes,"['Paper', 'Plastic']",['Stove'],3294,Medium
obese,female,vegan,daily,coal,private,diesel,often,213,very frequently,1467,small,6,7,28,1,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave']",3243,Medium
underweight,male,pescatarian,twice a day,electricity,private,hybrid,never,243,never,2787,large,2,21,16,14,Yes,"['Paper', 'Metal']",['Oven'],1126,Low
normal,male,omnivore,more frequently,electricity,private,electric,often,292,frequently,3347,medium,4,24,40,0,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1954,Low
obese,female,pescatarian,twice a day,electricity,private,petrol,often,52,frequently,9006,small,4,19,46,23,Sometimes,"['Paper', 'Metal']",[],5547,High
underweight,male,vegan,more frequently,wood,private,diesel,sometimes,131,rarely,4058,extra large,3,11,14,17,No,"['Paper', 'Glass', 'Metal']",['Stove'],2233,Low
obese,male,vegetarian,twice a day,coal,private,electric,sometimes,276,never,2698,medium,1,9,50,4,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",2027,Low
normal,female,pescatarian,less frequently,natural gas,private,electric,often,209,never,1580,large,5,2,19,19,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1543,Low
overweight,female,omnivore,less frequently,wood,private,lpg,never,86,rarely,5541,small,3,24,0,17,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",2522,Medium
obese,female,omnivore,more frequently,electricity,private,petrol,sometimes,238,rarely,7014,large,2,1,10,8,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",3996,High
obese,male,vegan,less frequently,coal,private,petrol,sometimes,200,never,1644,small,3,3,27,11,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2235,Low
obese,male,vegan,more frequently,electricity,private,petrol,sometimes,235,very frequently,4383,small,2,9,6,21,Sometimes,"['Plastic', 'Metal']",['Stove'],4311,High
underweight,female,omnivore,twice a day,natural gas,private,petrol,sometimes,122,never,5954,extra large,4,14,11,21,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",3419,High
normal,male,vegetarian,less frequently,wood,private,diesel,often,218,rarely,9258,small,4,12,20,20,Yes,['Paper'],['Stove'],3713,High
obese,male,vegan,daily,natural gas,private,electric,never,156,frequently,2041,large,1,17,0,18,Sometimes,"['Plastic', 'Glass', 'Metal']",['Oven'],1484,Low
underweight,male,omnivore,more frequently,coal,private,electric,sometimes,289,never,2033,extra large,7,1,40,1,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2517,Medium
underweight,female,omnivore,twice a day,wood,private,electric,often,214,never,7926,extra large,5,19,7,16,No,[],"['Grill', 'Airfryer']",1644,Low
underweight,female,omnivore,more frequently,coal,private,hybrid,often,292,rarely,8497,small,6,22,23,4,Sometimes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2813,Medium
underweight,female,vegan,daily,wood,private,petrol,never,209,rarely,5323,extra large,3,16,3,24,Sometimes,['Glass'],"['Stove', 'Microwave']",2779,Medium
overweight,male,vegan,more frequently,natural gas,private,lpg,sometimes,120,frequently,7153,extra large,7,6,17,16,Sometimes,['Metal'],['Oven'],5044,High
underweight,male,vegan,twice a day,coal,private,lpg,sometimes,264,frequently,2864,extra large,7,24,47,19,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",3745,High
obese,male,vegan,less frequently,coal,private,hybrid,never,252,rarely,6029,medium,3,20,33,15,Sometimes,"['Paper', 'Plastic', 'Glass']",[],3084,Medium
underweight,male,pescatarian,daily,wood,private,electric,sometimes,68,frequently,825,extra large,7,17,21,4,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']",2280,Low
underweight,male,vegan,daily,coal,private,diesel,never,99,frequently,704,large,6,4,23,3,Sometimes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",2130,Low
underweight,female,omnivore,more frequently,natural gas,private,hybrid,often,278,rarely,2514,large,5,20,45,3,Sometimes,"['Paper', 'Metal']",[],2224,Low
overweight,female,omnivore,twice a day,natural gas,private,petrol,never,89,very frequently,3208,medium,2,5,9,1,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3058,Medium
normal,female,vegetarian,twice a day,electricity,private,hybrid,never,255,never,9842,extra large,4,4,46,0,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2956,Medium
normal,male,omnivore,more frequently,electricity,private,petrol,never,189,never,7953,large,7,15,21,3,No,['Glass'],['Microwave'],4357,High
normal,female,omnivore,daily,coal,private,hybrid,sometimes,158,frequently,1844,extra large,6,4,9,6,No,"['Paper', 'Glass', 'Metal']",['Oven'],2250,Low
overweight,male,pescatarian,twice a day,natural gas,private,lpg,sometimes,224,very frequently,4397,small,6,23,1,16,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",4031,High
obese,female,pescatarian,twice a day,coal,private,lpg,never,158,frequently,6419,large,6,16,24,15,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",4445,High
obese,female,pescatarian,twice a day,coal,private,lpg,sometimes,272,very frequently,7008,large,4,3,28,17,No,['Metal'],['Microwave'],5133,High
underweight,male,vegan,more frequently,electricity,private,electric,never,222,rarely,1072,large,3,12,19,8,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1086,Low
overweight,male,vegan,twice a day,natural gas,private,electric,often,238,rarely,9316,medium,3,8,29,0,Yes,['Glass'],['Oven'],1790,Low
obese,male,vegetarian,less frequently,natural gas,private,lpg,sometimes,54,very frequently,9507,large,5,13,35,13,No,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",6621,High
normal,female,vegetarian,daily,natural gas,private,diesel,often,161,rarely,1899,large,6,22,24,17,No,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1900,Low
normal,male,pescatarian,daily,electricity,private,lpg,often,206,very frequently,4809,large,4,13,33,11,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",4031,High
underweight,female,omnivore,twice a day,natural gas,private,electric,never,236,frequently,3610,small,2,12,37,22,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1733,Low
normal,female,omnivore,more frequently,wood,private,electric,never,110,rarely,5696,large,4,11,45,12,Sometimes,['Paper'],"['Oven', 'Microwave']",1645,Low
overweight,female,omnivore,daily,coal,private,electric,often,80,rarely,9746,large,5,19,25,3,No,"['Paper', 'Plastic', 'Metal']",['Oven'],1660,Low
obese,female,vegetarian,more frequently,coal,private,petrol,sometimes,204,very frequently,3315,small,6,7,36,9,Yes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3973,High
overweight,male,omnivore,more frequently,coal,private,petrol,never,130,very frequently,7885,extra large,6,6,18,23,Yes,['Metal'],"['Grill', 'Airfryer']",6810,High
normal,female,vegetarian,twice a day,natural gas,private,lpg,sometimes,276,never,2916,extra large,5,21,42,8,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2393,Medium
overweight,female,pescatarian,more frequently,wood,private,hybrid,never,233,very frequently,3805,large,2,14,15,20,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3171,Medium
normal,female,vegetarian,more frequently,coal,private,lpg,never,144,never,7958,large,6,13,46,24,Sometimes,"['Plastic', 'Glass']",[],3492,High
obese,male,vegetarian,twice a day,coal,private,lpg,sometimes,183,rarely,8198,extra large,2,5,21,16,No,['Metal'],['Stove'],4612,High
underweight,female,omnivore,less frequently,electricity,private,electric,never,120,rarely,1401,extra large,2,16,33,1,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],766,Low
